Bead,WFS,Travel,Arc Correction
1,100,6,0
2,100,8,0
3,100,10,0
4,100,12,0
5,150,6,0
6,150,8,0
7,150,10,0
8,150,12,0
9,200,6,0
10,200,8,0
11,200,10,0
12,200,12,0
13,250,6,0
14,250,8,0
15,250,10,0
16,250,12,0
17,100,6,-15
18,100,8,-15
19,100,10,-15
20,100,12,-15
21,150,6,-15
22,150,8,-15
23,150,10,-15
24,150,12,-15
25,200,6,-15
26,200,8,-15
27,200,10,-15
28,200,12,-15
29,250,8,-15
30,250,10,-15
31,250,12,-15
32,100,6,15
33,100,8,15
34,100,10,15
35,100,12,15
36,150,6,15
37,150,8,15
38,150,10,15
39,150,12,15
40,200,8,15
41,200,10,15
42,200,12,15
43,250,8,15
44,250,10,15
45,250,12,15
